__run_id,__done,generation,model_size,task,energy
run_6_repetition_10,DONE,3,8B,BoolQ,7255.077697753906
run_10_repetition_1,DONE,3,8B,WiC,14245.870361328125
run_5_repetition_17,DONE,2,7B,WSC,10488.714904785156
run_22_repetition_11,DONE,3.2,1B,WiC,3042.5400390625
run_5_repetition_13,DONE,2,7B,WSC,10335.100036621094
run_20_repetition_21,DONE,3.2,1B,COPA,3229.5549926757812
run_10_repetition_23,DONE,3,8B,WiC,14265.868041992188
run_9_repetition_20,DONE,3,8B,RTE,11754.0107421875
run_3_repetition_22,DONE,2,7B,RTE,10947.34326171875
run_19_repetition_5,DONE,3.2,1B,CB,3776.5389404296875
run_5_repetition_27,DONE,2,7B,WSC,10431.925476074219
run_0_repetition_13,DONE,2,7B,BoolQ,12312.807922363281
run_24_repetition_15,DONE,3.2,3B,BoolQ,256620.62438964847
run_28_repetition_11,DONE,3.2,3B,WiC,6294.1448974609375
